iter	Passed	Remaining
0	145	145233
1	146	72932
2	146	48792
3	147	36710
4	148	29478
5	148	24660
6	149	21215
7	150	18635
8	150	16620
9	151	15012
10	152	13691
11	152	12589
12	153	11663
13	154	10865
14	154	10174
15	155	9564
16	156	9026
17	156	8545
18	157	8119
19	157	7734
20	158	7385
21	159	7071
22	159	6782
23	160	6517
24	160	6271
25	161	6048
26	162	5845
27	162	5650
28	163	5470
29	163	5301
30	164	5144
31	165	4998
32	165	4860
33	166	4729
34	167	4605
35	167	4490
36	168	4381
37	168	4277
38	169	4179
39	170	4085
40	170	3996
41	171	3910
42	172	3831
43	172	3755
44	173	3681
45	174	3610
46	174	3543
47	175	3477
48	175	3415
49	176	3354
50	177	3297
51	177	3242
52	178	3189
53	179	3137
54	179	3088
55	180	3040
56	180	2994
57	181	2949
58	182	2905
59	182	2863
60	183	2823
61	184	2784
62	184	2746
63	185	2709
64	185	2673
65	186	2639
66	187	2606
67	187	2570
68	188	2537
69	188	2506
70	189	2477
71	189	2448
72	190	2420
73	191	2393
74	191	2366
75	192	2340
76	193	2314
77	193	2289
78	194	2265
79	194	2241
80	195	2218
81	196	2195
82	196	2172
83	197	2152
84	197	2129
85	198	2108
86	198	2086
87	199	2067
88	200	2047
89	200	2028
90	201	2010
91	201	1992
92	202	1974
93	203	1958
94	203	1941
95	204	1925
96	205	1909
97	205	1893
98	206	1877
99	206	1862
100	207	1847
101	207	1830
102	208	1815
103	208	1800
104	209	1786
105	210	1773
106	210	1759
107	211	1746
108	212	1733
109	212	1720
110	213	1707
111	213	1695
112	214	1683
113	215	1671
114	215	1660
115	216	1648
116	216	1637
117	217	1626
118	218	1616
119	219	1607
120	219	1597
121	220	1587
122	220	1575
123	221	1565
124	222	1556
125	223	1547
126	223	1539
127	224	1529
128	225	1520
129	226	1512
130	226	1504
131	227	1495
132	228	1487
133	228	1479
134	229	1471
135	230	1463
136	231	1456
137	231	1447
138	232	1440
139	233	1432
140	233	1425
141	234	1418
142	235	1411
143	236	1405
144	237	1398
145	237	1391
146	238	1385
147	239	1378
148	240	1371
149	240	1365
150	241	1358
151	242	1352
152	243	1346
153	243	1340
154	244	1333
155	245	1326
156	245	1320
157	246	1313
158	247	1307
159	247	1301
160	248	1295
161	249	1289
162	249	1283
163	250	1277
164	251	1271
165	251	1265
166	252	1259
167	253	1253
168	253	1247
169	254	1241
170	254	1236
171	255	1230
172	256	1224
173	256	1219
174	257	1213
175	258	1208
176	258	1202
177	259	1197
178	260	1193
179	260	1188
180	261	1182
181	262	1178
182	263	1174
183	263	1170
184	264	1166
185	265	1162
186	266	1158
187	267	1153
188	268	1150
189	268	1145
190	269	1141
191	270	1138
192	271	1134
193	272	1130
194	272	1126
195	273	1123
196	274	1120
197	275	1116
198	276	1113
199	277	1109
200	278	1105
201	279	1102
202	279	1098
203	280	1095
204	281	1091
205	282	1086
206	282	1082
207	283	1078
208	283	1074
209	284	1070
210	285	1067
211	286	1063
212	286	1059
213	287	1055
214	288	1052
215	288	1048
216	289	1044
217	290	1040
218	290	1036
219	291	1032
220	291	1028
221	292	1024
222	292	1020
223	293	1017
224	294	1013
225	294	1010
226	295	1006
227	296	1002
228	296	999
229	297	995
230	298	992
231	298	989
232	299	985
233	300	982
234	300	979
235	301	975
236	302	972
237	302	969
238	303	966
239	304	963
240	304	960
241	305	956
242	306	953
243	306	950
244	307	947
245	308	944
246	308	940
247	309	937
248	309	934
249	310	931
250	311	928
251	311	925
252	312	922
253	312	919
254	313	915
255	314	912
256	314	910
257	315	907
258	316	904
259	316	901
260	317	898
261	318	896
262	318	893
263	319	890
264	320	887
265	320	884
266	321	881
267	321	878
268	322	876
269	323	873
270	323	870
271	324	868
272	324	865
273	325	862
274	326	860
275	326	857
276	327	854
277	328	852
278	328	849
279	329	846
280	330	844
281	330	842
282	331	840
283	332	837
284	333	835
285	333	833
286	334	830
287	335	828
288	335	826
289	336	823
290	337	821
291	337	818
292	338	816
293	338	813
294	339	811
295	340	809
296	340	806
297	341	804
298	342	802
299	342	799
300	343	797
301	344	795
302	344	793
303	345	790
304	345	788
305	346	785
306	347	783
307	347	781
308	348	779
309	348	776
310	349	774
311	350	772
312	350	770
313	351	767
314	352	765
315	352	763
316	353	761
317	354	759
318	354	757
319	355	755
320	356	753
321	356	750
322	357	748
323	357	746
324	358	744
325	359	742
326	359	740
327	360	738
328	361	736
329	361	734
330	362	732
331	363	730
332	363	728
333	364	726
334	365	724
335	365	722
336	366	720
337	366	718
338	367	716
339	368	714
340	368	712
341	369	710
342	370	708
343	370	706
344	371	705
345	372	703
346	372	701
347	373	700
348	374	698
349	375	696
350	375	694
351	376	693
352	377	691
353	378	690
354	379	688
355	379	687
356	380	685
357	381	683
358	381	681
359	382	679
360	382	677
361	383	675
362	384	674
363	384	672
364	385	670
365	386	668
366	386	667
367	387	665
368	387	663
369	388	661
370	389	660
371	390	658
372	390	656
373	391	654
374	391	653
375	392	651
376	393	649
377	393	648
378	394	646
379	395	644
380	395	642
381	396	641
382	396	639
383	397	637
384	398	636
385	399	634
386	399	633
387	400	631
388	401	629
389	401	628
390	402	626
391	402	624
392	403	623
393	404	621
394	404	619
395	405	618
396	406	616
397	406	615
398	407	613
399	408	612
400	408	610
401	409	608
402	409	607
403	410	605
404	411	604
405	412	602
406	412	601
407	413	600
408	414	598
409	415	597
410	415	595
411	416	594
412	416	592
413	417	591
414	418	589
415	418	588
416	419	586
417	420	584
418	420	583
419	421	581
420	421	580
421	422	578
422	423	577
423	423	575
424	424	574
425	425	573
426	425	571
427	426	570
428	427	568
429	428	567
430	428	566
431	429	564
432	430	563
433	430	561
434	431	560
435	432	559
436	432	557
437	433	556
438	434	554
439	434	553
440	435	551
441	436	550
442	436	549
443	437	547
444	437	546
445	438	544
446	439	543
447	439	541
448	440	540
449	441	539
450	441	537
451	442	536
452	443	535
453	444	534
454	444	532
455	445	531
456	445	529
457	446	528
458	447	527
459	447	525
460	448	524
461	449	522
462	449	521
463	450	520
464	450	518
465	451	517
466	452	516
467	452	514
468	453	513
469	453	511
470	454	510
471	455	509
472	455	507
473	456	506
474	457	505
475	457	504
476	458	502
477	459	501
478	459	500
479	460	498
480	461	497
481	461	496
482	462	494
483	462	493
484	463	492
485	464	490
486	464	489
487	465	488
488	465	486
489	466	485
490	467	484
491	467	483
492	468	481
493	469	480
494	469	479
495	470	478
496	471	476
497	471	475
498	472	474
499	472	472
500	473	471
501	474	470
502	474	469
503	475	468
504	476	466
505	476	465
506	477	464
507	478	462
508	478	461
509	479	460
510	479	459
511	480	458
512	481	456
513	481	455
514	482	454
515	483	453
516	483	452
517	484	450
518	485	449
519	485	448
520	486	447
521	486	445
522	487	444
523	488	443
524	488	442
525	489	441
526	490	439
527	490	438
528	491	437
529	491	436
530	492	435
531	493	433
532	493	432
533	494	431
534	495	430
535	495	429
536	496	427
537	496	426
538	497	425
539	498	424
540	499	423
541	500	422
542	501	421
543	501	420
544	502	419
545	503	418
546	504	417
547	505	416
548	506	415
549	506	414
550	507	413
551	508	412
552	509	411
553	509	410
554	510	409
555	511	408
556	512	407
557	512	406
558	513	405
559	514	404
560	514	402
561	515	401
562	516	400
563	516	399
564	517	398
565	518	397
566	519	396
567	519	395
568	520	394
569	521	393
570	522	392
571	523	391
572	524	390
573	525	389
574	525	388
575	526	387
576	527	386
577	528	385
578	529	384
579	530	383
580	530	382
581	531	381
582	532	380
583	533	379
584	534	378
585	534	377
586	535	376
587	536	375
588	537	374
589	538	373
590	538	372
591	539	371
592	540	370
593	541	369
594	541	368
595	542	367
596	543	366
597	544	365
598	544	364
599	545	363
600	546	362
601	546	361
602	547	360
603	548	359
604	549	358
605	550	357
606	550	356
607	551	355
608	552	354
609	553	353
610	554	352
611	554	351
612	555	350
613	556	349
614	557	348
615	557	347
616	558	346
617	559	345
618	560	344
619	560	343
620	561	342
621	562	341
622	563	340
623	564	339
624	564	338
625	565	337
626	566	336
627	566	335
628	567	334
629	568	333
630	569	332
631	569	331
632	570	330
633	571	329
634	572	328
635	572	327
636	573	326
637	574	325
638	575	325
639	576	324
640	577	323
641	577	322
642	578	321
643	579	320
644	579	319
645	580	318
646	581	317
647	582	316
648	583	315
649	584	314
650	584	313
651	585	312
652	586	311
653	587	310
654	588	309
655	588	308
656	589	307
657	590	307
658	591	306
659	592	305
660	592	303
661	593	303
662	594	302
663	595	301
664	596	300
665	596	299
666	597	298
667	598	297
668	598	296
669	599	295
670	600	294
671	601	293
672	602	292
673	603	291
674	603	290
675	604	289
676	605	288
677	606	288
678	607	287
679	608	286
680	608	285
681	609	284
682	610	283
683	611	282
684	611	281
685	612	280
686	613	279
687	614	278
688	615	277
689	615	276
690	616	275
691	617	274
692	617	273
693	618	272
694	619	271
695	620	271
696	621	270
697	622	269
698	622	268
699	623	267
700	624	266
701	625	265
702	625	264
703	626	263
704	627	262
705	628	261
706	628	260
707	629	259
708	630	258
709	631	257
710	631	256
711	632	255
712	633	254
713	634	253
714	634	253
715	635	252
716	636	251
717	636	250
718	637	249
719	638	248
720	639	247
721	639	246
722	640	245
723	641	244
724	641	243
725	642	242
726	643	241
727	644	240
728	645	239
729	645	238
730	646	237
731	647	236
732	647	235
733	648	234
734	649	234
735	649	233
736	650	232
737	651	231
738	652	230
739	652	229
740	653	228
741	654	227
742	655	226
743	655	225
744	656	224
745	657	223
746	658	222
747	658	221
748	659	220
749	660	220
750	660	219
751	661	218
752	662	217
753	663	216
754	663	215
755	664	214
756	665	213
757	665	212
758	666	211
759	667	210
760	668	209
761	668	208
762	669	208
763	670	207
764	671	206
765	671	205
766	672	204
767	673	203
768	674	202
769	674	201
770	675	200
771	676	199
772	677	198
773	677	197
774	678	197
775	679	196
776	679	195
777	680	194
778	681	193
779	682	192
780	682	191
781	683	190
782	684	189
783	685	188
784	686	187
785	686	187
786	687	186
787	688	185
788	689	184
789	689	183
790	690	182
791	691	181
792	691	180
793	692	179
794	693	178
795	694	177
796	694	176
797	695	176
798	696	175
799	697	174
800	697	173
801	698	172
802	699	171
803	700	170
804	700	169
805	701	168
806	702	167
807	702	167
808	703	166
809	704	165
810	704	164
811	705	163
812	706	162
813	707	161
814	707	160
815	708	159
816	709	158
817	709	157
818	710	157
819	711	156
820	711	155
821	712	154
822	713	153
823	714	152
824	714	151
825	715	150
826	716	149
827	716	148
828	717	148
829	718	147
830	719	146
831	719	145
832	720	144
833	721	143
834	721	142
835	722	141
836	723	140
837	723	139
838	724	139
839	725	138
840	726	137
841	726	136
842	727	135
843	728	134
844	728	133
845	729	132
846	730	131
847	730	130
848	731	130
849	731	129
850	732	128
851	733	127
852	733	126
853	734	125
854	734	124
855	735	123
856	736	122
857	736	121
858	737	121
859	738	120
860	738	119
861	739	118
862	740	117
863	741	116
864	742	115
865	743	115
866	744	114
867	744	113
868	745	112
869	746	111
870	747	110
871	747	109
872	748	108
873	749	108
874	749	107
875	750	106
876	751	105
877	752	104
878	752	103
879	753	102
880	754	101
881	754	100
882	755	100
883	756	99
884	756	98
885	757	97
886	758	96
887	759	95
888	759	94
889	760	93
890	761	93
891	761	92
892	762	91
893	763	90
894	764	89
895	764	88
896	765	87
897	766	87
898	767	86
899	768	85
900	768	84
901	769	83
902	770	82
903	771	81
904	772	81
905	772	80
906	773	79
907	774	78
908	775	77
909	776	76
910	777	76
911	778	75
912	780	74
913	781	73
914	782	72
915	783	71
916	784	71
917	785	70
918	786	69
919	787	68
920	788	67
921	789	66
922	790	65
923	791	65
924	792	64
925	793	63
926	794	62
927	795	61
928	796	60
929	797	60
930	798	59
931	799	58
932	800	57
933	801	56
934	802	55
935	803	54
936	804	54
937	804	53
938	806	52
939	807	51
940	808	50
941	809	49
942	810	49
943	811	48
944	812	47
945	813	46
946	814	45
947	815	44
948	816	43
949	816	42
950	817	42
951	818	41
952	819	40
953	820	39
954	821	38
955	822	37
956	823	36
957	824	36
958	825	35
959	826	34
960	827	33
961	828	32
962	828	31
963	829	30
964	830	30
965	831	29
966	832	28
967	833	27
968	833	26
969	834	25
970	835	24
971	836	24
972	837	23
973	838	22
974	838	21
975	839	20
976	840	19
977	841	18
978	842	18
979	843	17
980	844	16
981	845	15
982	846	14
983	847	13
984	847	12
985	848	12
986	849	11
987	850	10
988	851	9
989	852	8
990	853	7
991	854	6
992	855	6
993	856	5
994	856	4
995	857	3
996	858	2
997	859	1
998	860	0
999	861	0
