iter	Passed	Remaining
0	0	731
1	1	748
2	2	715
3	2	681
4	3	662
5	3	649
6	4	661
7	5	652
8	5	646
9	6	641
10	7	637
11	7	648
12	8	646
13	9	640
14	9	636
15	10	629
16	10	625
17	11	623
18	11	619
19	12	620
20	13	617
21	13	622
22	14	622
23	15	620
24	15	618
25	16	616
26	17	614
27	17	611
28	18	612
29	18	611
30	19	609
31	20	609
32	20	609
33	21	608
34	22	606
35	22	605
36	23	603
37	23	603
38	24	601
39	25	601
40	25	600
41	26	604
42	27	603
43	27	602
44	28	600
45	28	600
46	29	599
47	30	599
48	30	598
49	31	599
50	32	600
51	32	600
52	33	599
53	34	598
54	34	597
55	35	597
56	36	596
57	36	594
58	37	593
59	37	592
60	38	591
61	39	591
62	39	591
63	40	590
64	41	590
65	41	589
66	42	587
67	42	586
68	43	585
69	44	584
70	44	585
71	45	585
72	46	587
73	46	586
74	47	585
75	48	584
76	48	583
77	49	582
78	49	581
79	50	581
80	51	581
81	51	581
82	52	577
83	52	577
84	53	577
85	54	579
86	55	579
87	55	578
88	56	578
89	57	577
90	57	576
91	58	575
92	58	575
93	59	574
94	60	573
95	60	572
96	61	571
97	61	570
98	62	568
99	63	568
100	63	568
101	64	566
102	64	565
103	65	564
104	66	563
105	66	562
106	67	561
107	67	560
108	68	558
109	68	557
110	69	557
111	70	556
112	70	555
113	71	554
114	71	553
115	72	551
116	72	550
117	73	549
118	74	549
119	74	549
120	75	548
121	76	547
122	76	547
123	77	547
124	78	546
125	78	545
126	79	543
127	79	542
128	80	541
129	80	540
130	81	539
131	81	538
132	82	538
133	83	537
134	83	536
135	84	535
136	84	534
137	85	533
138	85	532
139	86	531
140	87	530
141	87	528
142	88	528
143	88	528
144	89	527
145	89	526
146	90	524
147	91	524
148	91	523
149	92	522
150	92	520
151	93	520
152	93	519
153	94	518
154	95	517
155	95	517
156	96	516
157	96	515
158	97	514
159	97	513
160	98	511
161	98	510
162	99	509
163	99	509
164	100	509
165	101	508
166	101	508
167	102	507
168	102	506
169	103	505
170	104	504
171	104	503
172	105	502
173	105	501
174	106	500
175	106	500
176	107	499
177	108	498
178	108	497
179	109	496
180	109	495
181	110	495
182	110	494
183	111	493
184	111	492
185	112	491
186	112	490
187	113	490
188	114	489
189	114	489
190	115	488
191	115	487
192	116	486
193	116	485
194	117	484
195	117	483
196	118	482
197	119	482
198	119	481
199	120	481
200	120	480
201	121	479
202	121	478
203	122	477
204	122	476
205	123	475
206	124	475
207	124	474
208	125	473
209	125	473
210	126	472
211	126	471
212	127	470
213	127	469
214	129	471
215	129	470
216	130	470
217	130	469
218	131	468
219	132	468
220	132	467
221	133	466
222	133	466
223	134	465
224	134	464
225	135	464
226	136	464
227	136	463
228	137	462
229	138	462
230	138	461
231	139	460
232	139	460
233	140	459
234	140	458
235	141	458
236	142	458
237	142	457
238	143	456
239	144	456
240	144	455
241	145	455
242	146	454
243	146	454
244	147	454
245	147	453
246	148	452
247	149	451
248	149	451
